U.S. Census Bureau,
Source: Monthly Retail Trade and Food Services,
4481: Clothing Stores: U.S. Total,
Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 1992 to 2025,
Data Extracted on: November 19, 2025 (12:42 am)
,
Period,Value
Jan-92,6614
Feb-92,6627
Mar-92,6524
Apr-92,6817
May-92,6789
Jun-92,6915
Jul-92,6988
Aug-92,7124
Sep-92,7068
Oct-92,7072
Nov-92,7042
Dec-92,7200
Jan-93,7437
Feb-93,7094
Mar-93,6867
Apr-93,7188
May-93,7232
Jun-93,7096
Jul-93,7233
Aug-93,7080
Sep-93,7237
Oct-93,7199
Nov-93,7195
Dec-93,7176
Jan-94,7118
Feb-94,7249
Mar-94,7384
Apr-94,7246
May-94,7122
Jun-94,7300
Jul-94,7259
Aug-94,7414
Sep-94,7234
Oct-94,7465
Nov-94,7423
Dec-94,7430
Jan-95,7445
Feb-95,7282
Mar-95,7331
Apr-95,7249
May-95,7352
Jun-95,7361
Jul-95,7292
Aug-95,7217
Sep-95,7594
Oct-95,7247
Nov-95,7546
Dec-95,7496
Jan-96,7396
Feb-96,7646
Mar-96,7487
Apr-96,7569
May-96,7660
Jun-96,7590
Jul-96,7518
Aug-96,7576
Sep-96,7770
Oct-96,7717
Nov-96,7609
Dec-96,7682
Jan-97,7831
Feb-97,7727
Mar-97,7849
Apr-97,7489
May-97,7757
Jun-97,7923
Jul-97,7946
Aug-97,8135
Sep-97,8029
Oct-97,8153
Nov-97,8103
Dec-97,8245
Jan-98,8254
Feb-98,8290
Mar-98,8206
Apr-98,8545
May-98,8378
Jun-98,8446
Jul-98,8630
Aug-98,8534
Sep-98,8307
Oct-98,8575
Nov-98,8749
Dec-98,8651
Jan-99,8817
Feb-99,8886
Mar-99,8988
Apr-99,9059
May-99,9213
Jun-99,9121
Jul-99,9080
Aug-99,9173
Sep-99,9228
Oct-99,9151
Nov-99,9141
Dec-99,9225
Jan-00,9078
Feb-00,9213
Mar-00,9547
Apr-00,9477
May-00,9615
Jun-00,9538
Jul-00,9398
Aug-00,9656
Sep-00,9948
Oct-00,9768
Nov-00,9961
Dec-00,9767
Jan-01,9787
Feb-01,9901
Mar-01,9519
Apr-01,9936
May-01,9646
Jun-01,9647
Jul-01,9672
Aug-01,9937
Sep-01,9298
Oct-01,9765
Nov-01,9709
Dec-01,9930
Jan-02,9837
Feb-02,9996
Mar-02,10028
Apr-02,9954
May-02,9872
Jun-02,9983
Jul-02,9968
Aug-02,10018
Sep-02,9792
Oct-02,10214
Nov-02,10145
Dec-02,10273
Jan-03,10285
Feb-03,9888
Mar-03,10166
Apr-03,10158
May-03,10358
Jun-03,10514
Jul-03,10625
Aug-03,10601
Sep-03,10679
Oct-03,10596
Nov-03,10737
Dec-03,10878
Jan-04,10953
Feb-04,11030
Mar-04,11227
Apr-04,10981
May-04,11126
Jun-04,10928
Jul-04,11066
Aug-04,11095
Sep-04,11179
Oct-04,11347
Nov-04,11431
Dec-04,11479
Jan-05,11477
Feb-05,11776
Mar-05,11558
Apr-05,11811
May-05,11691
Jun-05,11966
Jul-05,11697
Aug-05,11923
Sep-05,11624
Oct-05,12181
Nov-05,12158
Dec-05,12181
Jan-06,12235
Feb-06,12186
Mar-06,12278
Apr-06,12547
May-06,12345
Jun-06,12568
Jul-06,12654
Aug-06,12487
Sep-06,12926
Oct-06,12909
Nov-06,12737
Dec-06,13244
Jan-07,13248
Feb-07,13008
Mar-07,13373
Apr-07,13040
May-07,13235
Jun-07,13151
Jul-07,13117
Aug-07,13221
Sep-07,13127
Oct-07,13156
Nov-07,13364
Dec-07,13270
Jan-08,13186
Feb-08,13075
Mar-08,13010
Apr-08,13056
May-08,13269
Jun-08,13328
Jul-08,13164
Aug-08,13169
Sep-08,12563
Oct-08,12382
Nov-08,12414
Dec-08,12276
Jan-09,12559
Feb-09,12691
Mar-09,11905
Apr-09,12260
May-09,12380
Jun-09,12110
Jul-09,12346
Aug-09,12522
Sep-09,12392
Oct-09,12624
Nov-09,12345
Dec-09,12271
Jan-10,12580
Feb-10,12597
Mar-10,12966
Apr-10,12907
May-10,12861
Jun-10,12745
Jul-10,12731
Aug-10,12807
Sep-10,12935
Oct-10,13007
Nov-10,13339
Dec-10,13251
Jan-11,13214
Feb-11,13467
Mar-11,13447
Apr-11,13571
May-11,13480
Jun-11,13795
Jul-11,13675
Aug-11,13479
Sep-11,13978
Oct-11,13785
Nov-11,13939
Dec-11,14092
Jan-12,14146
Feb-12,14560
Mar-12,14527
Apr-12,14201
May-12,14143
Jun-12,14395
Jul-12,14237
Aug-12,14423
Sep-12,14417
Oct-12,14360
Nov-12,14326
Dec-12,14387
Jan-13,14798
Feb-13,14577
Mar-13,14544
Apr-13,14555
May-13,14650
Jun-13,14593
Jul-13,14801
Aug-13,14568
Sep-13,14499
Oct-13,14692
Nov-13,14423
Dec-13,14613
Jan-14,14585
Feb-14,14510
Mar-14,14683
Apr-14,15096
May-14,14797
Jun-14,14808
Jul-14,14870
Aug-14,15015
Sep-14,14873
Oct-14,15113
Nov-14,15342
Dec-14,15327
Jan-15,15041
Feb-15,15194
Mar-15,15265
Apr-15,15332
May-15,15440
Jun-15,15186
Jul-15,15358
Aug-15,15459
Sep-15,15342
Oct-15,15192
Nov-15,15202
Dec-15,15194
Jan-16,15244
Feb-16,15538
Mar-16,15278
Apr-16,15232
May-16,15274
Jun-16,15458
Jul-16,15302
Aug-16,15582
Sep-16,15691
Oct-16,15521
Nov-16,15198
Dec-16,15594
Jan-17,15770
Feb-17,15479
Mar-17,15551
Apr-17,15595
May-17,15431
Jun-17,15529
Jul-17,15361
Aug-17,15471
Sep-17,15509
Oct-17,15473
Nov-17,15599
Dec-17,15540
Jan-18,15577
Feb-18,15990
Mar-18,15468
Apr-18,15624
May-18,16298
Jun-18,15760
Jul-18,15987
Aug-18,15810
Sep-18,15760
Oct-18,15972
Nov-18,16024
Dec-18,15772
Jan-19,15702
Feb-19,15620
Mar-19,15930
Apr-19,15876
May-19,15781
Jun-19,15800
Jul-19,15909
Aug-19,15889
Sep-19,15701
Oct-19,15876
Nov-19,15849
Dec-19,16525
Jan-20,16103
Feb-20,16062
Mar-20,7638
Apr-20,1714
May-20,5054
Jun-20,11136
Jul-20,11764
Aug-20,12312
Sep-20,13846
Oct-20,13556
Nov-20,12801
Dec-20,13231
Jan-21,13687
Feb-21,13223
Mar-21,16076
Apr-21,16120
May-21,16489
Jun-21,17366
Jul-21,16969
Aug-21,16647
Sep-21,16811
Oct-21,16756
Nov-21,17159
Dec-21,16436
Jan-22,15962
Feb-22,16282
Mar-22,17157
Apr-22,17167
May-22,17020
Jun-22,16998
Jul-22,16644
Aug-22,16957
Sep-22,17133
Oct-22,17287
Nov-22,17150
Dec-22,16935
Jan-23,17473
Feb-23,17441
Mar-23,17250
Apr-23,17167
May-23,17026
Jun-23,17078
Jul-23,17466
Aug-23,17782
Sep-23,17666
Oct-23,17450
Nov-23,17491
Dec-23,17731
Jan-24,17397
Feb-24,17639
Mar-24,17053
Apr-24,17626
May-24,17894
Jun-24,17801
Jul-24,17828
Aug-24,17840
Sep-24,17877
Oct-24,17995
Nov-24,18208
Dec-24,18346
Jan-25,18486
Feb-25,18481
Mar-25,18750
Apr-25,18747
May-25,18906
Jun-25,19227
Jul-25,19339
Aug-25,NA
Sep-25,NA
Oct-25,NA
Nov-25,NA
Dec-25,NA
