date,series_id,value,realtime_start,realtime_end,gdp_growth
2004-04-01,GDPC1,15366.85,2025-11-20,2025-11-20,0.7749523237421174
2004-07-01,GDPC1,15512.619,2025-11-20,2025-11-20,0.9485938887930923
2004-10-01,GDPC1,15670.88,2025-11-20,2025-11-20,1.0202081286209586
2005-01-01,GDPC1,15844.727,2025-11-20,2025-11-20,1.1093633541958248
2005-04-01,GDPC1,15922.782,2025-11-20,2025-11-20,0.4926244548107306
2005-07-01,GDPC1,16047.587,2025-11-20,2025-11-20,0.7838140345072908
2005-10-01,GDPC1,16136.734,2025-11-20,2025-11-20,0.5555165396517348
2006-01-01,GDPC1,16353.835,2025-11-20,2025-11-20,1.3453837684874737
2006-04-01,GDPC1,16396.151,2025-11-20,2025-11-20,0.25875276349554
2006-07-01,GDPC1,16420.738,2025-11-20,2025-11-20,0.1499559256315619
2006-10-01,GDPC1,16561.866,2025-11-20,2025-11-20,0.8594498006118778
2007-01-01,GDPC1,16611.69,2025-11-20,2025-11-20,0.30083566670564554
2007-04-01,GDPC1,16713.314,2025-11-20,2025-11-20,0.6117619579946387
2007-07-01,GDPC1,16809.587,2025-11-20,2025-11-20,0.5760257959612325
2007-10-01,GDPC1,16915.191,2025-11-20,2025-11-20,0.6282367318126258
2008-01-01,GDPC1,16843.003,2025-11-20,2025-11-20,-0.42676432089947536
2008-04-01,GDPC1,16943.291,2025-11-20,2025-11-20,0.5954282618129358
2008-07-01,GDPC1,16854.295,2025-11-20,2025-11-20,-0.5252580505168858
2008-10-01,GDPC1,16485.35,2025-11-20,2025-11-20,-2.189026595298116
2009-01-01,GDPC1,16298.262,2025-11-20,2025-11-20,-1.1348742974823023
2009-04-01,GDPC1,16269.145,2025-11-20,2025-11-20,-0.1786509506351064
2009-07-01,GDPC1,16326.281,2025-11-20,2025-11-20,0.3511923951750484
2009-10-01,GDPC1,16502.754,2025-11-20,2025-11-20,1.0809136508185713
2010-01-01,GDPC1,16582.71,2025-11-20,2025-11-20,0.48450095056860043
2010-04-01,GDPC1,16743.162,2025-11-20,2025-11-20,0.9675861183124024
2010-07-01,GDPC1,16872.266,2025-11-20,2025-11-20,0.7710849360473171
2010-10-01,GDPC1,16960.864,2025-11-20,2025-11-20,0.5251102608268665
2011-01-01,GDPC1,16920.632,2025-11-20,2025-11-20,-0.23720489710901127
2011-04-01,GDPC1,17035.114,2025-11-20,2025-11-20,0.6765822931436682
2011-07-01,GDPC1,17031.313,2025-11-20,2025-11-20,-0.022312735917140447
2011-10-01,GDPC1,17222.583,2025-11-20,2025-11-20,1.1230490567579965
2012-01-01,GDPC1,17367.01,2025-11-20,2025-11-20,0.838590819971663
2012-04-01,GDPC1,17444.525,2025-11-20,2025-11-20,0.4463347461653111
2012-07-01,GDPC1,17469.65,2025-11-20,2025-11-20,0.14402799732293747
2012-10-01,GDPC1,17489.852,2025-11-20,2025-11-20,0.11564055376036553
2013-01-01,GDPC1,17662.4,2025-11-20,2025-11-20,0.9865606638638447
2013-04-01,GDPC1,17709.671,2025-11-20,2025-11-20,0.26763633481292626
2013-07-01,GDPC1,17860.45,2025-11-20,2025-11-20,0.851393569084391
2013-10-01,GDPC1,18016.147,2025-11-20,2025-11-20,0.8717417534272576
2014-01-01,GDPC1,17953.974,2025-11-20,2025-11-20,-0.34509598528477126
2014-04-01,GDPC1,18185.911,2025-11-20,2025-11-20,1.2918421292132942
2014-07-01,GDPC1,18406.941,2025-11-20,2025-11-20,1.2153914093167906
2014-10-01,GDPC1,18500.031,2025-11-20,2025-11-20,0.5057331362120498
2015-01-01,GDPC1,18666.621,2025-11-20,2025-11-20,0.9004849775657187
2015-04-01,GDPC1,18782.243,2025-11-20,2025-11-20,0.6194050867588619
2015-07-01,GDPC1,18857.418,2025-11-20,2025-11-20,0.4002450612528241
2015-10-01,GDPC1,18892.206,2025-11-20,2025-11-20,0.18447912646364362
2016-01-01,GDPC1,19001.69,2025-11-20,2025-11-20,0.5795194060450148
2016-04-01,GDPC1,19062.709,2025-11-20,2025-11-20,0.3211240684381167
2016-07-01,GDPC1,19197.938,2025-11-20,2025-11-20,0.7093902550786346
2016-10-01,GDPC1,19304.352,2025-11-20,2025-11-20,0.5542991127484687
2017-01-01,GDPC1,19398.343,2025-11-20,2025-11-20,0.48689021004175714
2017-04-01,GDPC1,19506.949,2025-11-20,2025-11-20,0.5598725623111145
2017-07-01,GDPC1,19660.766,2025-11-20,2025-11-20,0.7885241305547019
2017-10-01,GDPC1,19882.352,2025-11-20,2025-11-20,1.1270466267692791
2018-01-01,GDPC1,20044.077,2025-11-20,2025-11-20,0.8134098018182323
2018-04-01,GDPC1,20150.476,2025-11-20,2025-11-20,0.5308251410129694
2018-07-01,GDPC1,20276.154,2025-11-20,2025-11-20,0.6236974253114314
2018-10-01,GDPC1,20304.874,2025-11-20,2025-11-20,0.1416442191157108
2019-01-01,GDPC1,20431.641,2025-11-20,2025-11-20,0.6243180824466066
2019-04-01,GDPC1,20602.275,2025-11-20,2025-11-20,0.8351458407085399
2019-07-01,GDPC1,20843.322,2025-11-20,2025-11-20,1.170001856591063
2019-10-01,GDPC1,20985.448,2025-11-20,2025-11-20,0.6818778695641736
2020-01-01,GDPC1,20709.212,2025-11-20,2025-11-20,-1.3163216720462723
2020-04-01,GDPC1,19077.992,2025-11-20,2025-11-20,-7.876784495711386
2020-07-01,GDPC1,20558.879,2025-11-20,2025-11-20,7.762279174873354
2020-10-01,GDPC1,20791.917,2025-11-20,2025-11-20,1.1335151104298946
2021-01-01,GDPC1,21082.134,2025-11-20,2025-11-20,1.3958164607909662
2021-04-01,GDPC1,21440.929,2025-11-20,2025-11-20,1.701891279127632
2021-07-01,GDPC1,21617.828,2025-11-20,2025-11-20,0.8250528696774451
2021-10-01,GDPC1,21988.737,2025-11-20,2025-11-20,1.7157551628220968
2022-01-01,GDPC1,21932.71,2025-11-20,2025-11-20,-0.2547986271335234
2022-04-01,GDPC1,21967.045,2025-11-20,2025-11-20,0.15654700217164752
2022-07-01,GDPC1,22125.625,2025-11-20,2025-11-20,0.7218995545372753
2022-10-01,GDPC1,22278.345,2025-11-20,2025-11-20,0.6902403886895891
2023-01-01,GDPC1,22439.607,2025-11-20,2025-11-20,0.723850896464695
2023-04-01,GDPC1,22580.499,2025-11-20,2025-11-20,0.6278719587201387
2023-07-01,GDPC1,22840.989,2025-11-20,2025-11-20,1.1536060385556546
2023-10-01,GDPC1,23033.78,2025-11-20,2025-11-20,0.8440571465622604
2024-01-01,GDPC1,23082.119,2025-11-20,2025-11-20,0.2098613427756968
2024-04-01,GDPC1,23286.508,2025-11-20,2025-11-20,0.8854862935244512
2024-07-01,GDPC1,23478.57,2025-11-20,2025-11-20,0.8247780216767531
2024-10-01,GDPC1,23586.542,2025-11-20,2025-11-20,0.4598746857240599
2025-01-01,GDPC1,23548.21,2025-11-20,2025-11-20,-0.16251640448184945
